UID001|1234567890123457|123|06/24
UID002|0987654321092345|345|02/23
UID003|1209873465985567|678|05/24
UID004|4567896512346789|890|08/23
UID005|4567098712347689|156|09/24
UID006|1234098745679807|123|11/26
UID007|1235678890123457|134|01/24
UID008|0985678321092345|334|04/25
UID009|1205688465985567|675|02/24
UID010|4567896786546789|657|05/23
UID011|4567098712345664|234|08/27
UID012|1234098745634585|567|10/24
UID013|1234562344645211|234|06/26
UID014|0943537665686535|657|02/28
UID015|1209245234452211|685|04/25
UID016|1345462685467889|854|07/28
UID017|4654362435124332|346|08/25
UID018|3455767856463432|234|12/26
UID019|7658443234134546|123|01/24
UID020|9679809556734521|134|08/23
UID021|2345634654363466|654|05/23
UID022|4567834543565466|687|08/24
UID023|4245435646543456|568|09/27
UID024|6786756745345321|134|12/26
UID025|5645756435232143|567|06/24
UID026|6745644532211324|146|08/25
UID027|5743546534523422|783|09/24
UID028|3254435646576764|965|08/24
UID029|2134325346547687|258|09/25
UID030|2345465467743566|175|11/27
UID031|2435465654365435|943|01/26
UID032|6765880676534521|612|04/24
UID033|9678567435342135|853|08/24
UID034|4546754765879000|112|07/24
UID035|5467657898067856|463|11/26

